OBJECTID,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
1619,Colusa Generating Station,USA0056532,712.399999999999977,39.366100000000003,-122.269999999999996,Gas,,,,2011.000000000000000,Pacific Gas & Electric Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55555,2017,2535.528,2480.83,3571.838,2909.398,2490.625,
1620,Colver Power Project,USA0010143,118.000000000000000,40.549999999999997,-78.799999999999997,Coal,Gas,,,1995.000000000000000,Inter-Power/AhlCon Partners  L.P.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12198,2017,880.563997,845.465004,829.278996,730.856997,811.449005,
1621,Com Adam 1WF-1,USA0058887,5.000000000000000,41.660299999999999,-89.249700000000004,Wind,,,,2007.000000000000000,FPC Services Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,13.953,15.283,15.009,12.112,10.856,
1622,Comanche (CO),USA0000470,1635.299999999999955,38.208100000000002,-104.574700000000007,Coal,Gas,,,1992.870116000000053,Public Service Co of Colorado,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30847,2017,8959.65903,8289.78303,8636.01603,9059.70998,9275.37898,
1623,Comanche (OK),USA0008059,294.000000000000000,34.543100000000003,-98.324399999999997,Gas,Oil,,,1973.547618999999941,Public Service Co of Oklahoma,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30903,2017,742.569,0,363.326,95.049,,
1624,Comanche Peak,USA0006145,2430.000000000000000,32.298400000000001,-97.785499999999999,Nuclear,,,,1991.500000000000000,Luminant Generation Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,34461,2017,20487.14,18635.776,19954.124,20385.142,16999.925,
1625,Comanche Solar,USA0059656,120.000000000000000,38.205300000000001,-104.566699999999997,Solar,,,,2016.000000000000000,Comanche Solar PV  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67903,2017,,,,84.592,285.438,53.511320159999997
1626,Combie South,USA0000846,1.500000000000000,39.009599999999999,-121.059100000000001,Hydro,,,,1984.000000000000000,Nevada Irrigation District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17375,2017,2.317,2.158,1.653,7.927,8.456,
1627,Combine Hills I,USA0056195,41.000000000000000,45.942999999999998,-118.590999999999994,Wind,,,,2004.000000000000000,Eurus Combine Hills I LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,50654,2017,102.602,107.566,91.035,116.764,93.507,
1628,Combined Locks,USA0004201,6.200000000000000,44.273499999999999,-88.300500000000000,Hydro,,,,1988.000000000000000,City of Kaukauna,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23871,2017,39.956,45.542,41.325,46.819,42.681,
1629,Combined Locks Energy Center,USA0055558,66.500000000000000,44.271700000000003,-88.301100000000005,Gas,,,,2002.000000000000000,Appleton Coated LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49183,2017,0,0,0,0,132.21488,
1630,Combustion Turbine Project No 2,USA0007449,50.000000000000000,38.088099999999997,-121.386899999999997,Gas,,,,1996.000000000000000,Northern California Power Agny,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0,0,0,0,11.081,
1631,Comerford,USA0002349,167.800000000000011,44.325099999999999,-72.001000000000005,Hydro,,,,1930.000000000000000,Great River Hydro  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27428,2017,323.101,353.812,343.511,290.397,379.605,
1632,Commerce Refuse To Energy,USA0010090,12.000000000000000,33.994900000000001,-118.153800000000004,Waste,Gas,,,1986.000000000000000,Los Angeles County Sanitation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,75.951,72.854,80.957,79.508,71.583,
1633,Commonwealth Chesapeake,USA0055381,402.500000000000000,37.989199999999997,-75.540000000000006,Oil,,,,2000.571429000000080,Commonwealth Chesapeake Co LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,39997,2017,41.403,155.228,134.058,100.476,72.131,
1634,Community Foodbank of NJ,USA0060776,1.100000000000000,40.697299999999998,-74.212199999999996,Solar,,,,2012.000000000000000,Community Foodbank of NJ,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,1.213,0.694,0.490520435000000
1635,Community Solar 1,USA0058545,5.700000000000000,32.982799999999997,-115.481899999999996,Solar,,,,2014.000000000000000,NRG Solar Community 1 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68214,2017,,6.62,14.478,13.95306,13.644,
1636,Community Wind North LLC,USA0057385,30.000000000000000,44.245600000000003,-96.406400000000005,Wind,,,,2011.000000000000000,NRG Energy Gas & Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62679,2017,94.423,102.38,93.859,99.185,97.373,
1637,Community Wind South,USA0058045,30.000000000000000,43.713600000000000,-95.802800000000005,Wind,,,,2013.000000000000000,Zephyr Wind LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,65673,2017,107.297,109.376,114.562,119.515,117.291,
1638,Conception,USA0056537,50.399999999999999,40.257199999999997,-94.672200000000004,Wind,,,,2008.000000000000000,CR Clearing  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,56533,2017,124.668,127.169,109.482,115.741,115.775,
1639,Concord,USA0007159,381.600000000000023,43.166899999999998,-88.689999999999998,Gas,Oil,,,1993.500000000000000,Wisconsin Electric Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,37181,2017,41.132015,46.794,85.913,101.440999,79.543,
1640,Concord Energy,USA0057896,9.600000000000000,35.345999999999997,-80.670400000000001,Waste,Oil,,,2012.000000000000000,Concord Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64651,2017,0,0,0,0,65.109,
1641,Concord Farm,USA0059818,5.200000000000000,35.444200000000002,-80.663600000000002,Solar,,,,2011.000000000000000,Shoe Show  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,5.64201,5.692,6.214,5.784,
1642,Concord Solar Farm,USA0059768,1.500000000000000,42.444000000000003,-71.334999999999994,Solar,,,,2014.000000000000000,Kearsarge Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69228,2017,,1.458,2.031,2.16,2.05,
1643,Condon Windpower LLC,USA0055739,49.799999999999997,45.276600000000002,-120.279399999999995,Wind,,,,2002.000000000000000,Allete Clean Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,46880,2017,89.157,99.604,84.165,96.898,90.669,
1644,Conejos 1 Community Solar Array,USA0060723,1.500000000000000,37.195900000000002,-105.982399999999998,Solar,,,,2017.000000000000000,Clean Focus Renewables  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0.132,0.668891502000000
1645,Conemaugh,USA0003118,1884.000000000000000,40.384200000000000,-79.061099999999996,Coal,Oil,Gas,,1970.496814999999970,GenOn Northeast Management Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29916,2017,11759.88317,11005.43604,11147.02277,9219.005999,11268.60905,
1646,Conemaugh Hydro Plant,USA0052173,15.000000000000000,40.464399999999998,-79.365700000000004,Hydro,,,,1989.000000000000000,Pennsylvania Renewable Resources,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,47.197,38.21,44.142,42.405,57.399,
1647,Conesville,USA0002840,1729.299999999999955,40.184199999999997,-81.881100000000004,Coal,Oil,,,1975.053548000000092,AEP Generation Resources Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17107,2017,6362.81004,7974.026953,5168.266019,4534.110017,3845.242028,
1648,Conetoe II Solar  LLC,USA0059944,80.000000000000000,35.822000000000003,-77.480999999999995,Solar,,,,2016.000000000000000,Conetoe II Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69903,2017,,,1.126,166.259,170.872,35.674213440000003
1649,Conetoe Solar,USA0060188,5.000000000000000,35.825200000000002,-77.457800000000006,Solar,,,,2016.000000000000000,Conetoe Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69903,2017,,,0,10.353,9.924,2.229638340000000
1650,Conn Mun Electric Energy Coop,USA0060228,1.000000000000000,41.538300000000000,-72.122500000000002,Solar,,,,2017.000000000000000,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0.957,0.445927668000000
1651,Connersville,USA0001002,83.599999999999994,39.656100000000002,-85.175799999999995,Oil,,,,1972.000000000000000,Duke Energy Indiana  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30786,2017,-0.008,-0.09,-0.2,-0.127,-0.133,
1652,Conowingo,USA0001574,530.799999999999955,39.657200000000003,-76.175200000000004,Hydro,,,,1943.083646999999928,Exelon Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33989,2017,1699.398,1594.647,1597.488,1369.003,1935.422,
1653,Conrath DPC Solar,USA0060889,1.000000000000000,45.366100000000003,-91.048199999999994,Solar,,,,2017.000000000000000,SoCore Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0.754,0.445927668000000
1654,Constantine,USA0001760,1.200000000000000,41.843600000000002,-85.669399999999996,Hydro,,,,1924.500000000000000,Indiana Michigan Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23013,2017,4.752,5.139,4.604,5.438,4.651,
1655,Constellation New Energy Inc,USA0058029,3.900000000000000,39.928899999999999,-74.818100000000001,Solar,,,,2012.000000000000000,Constellation Solar Federal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,6.631,6.359,6.377,6.326,6.073,
1656,Consumer Operations LLC,USA0010360,90.799999999999997,44.493600000000001,-88.030299999999997,Gas,Coal,Petcoke,Oil,1975.852423000000044,Georgia-Pacific Consumer Oper. Green Bay LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,20428,2017,499.015004,470.120004,337.748005,181.092,173.522001,
1657,Consumer Operations LLC,USA0057759,61.500000000000000,45.584699999999998,-122.405600000000007,Biomass,Waste,Gas,,1996.000000000000000,Georgia-Pacific Consumer Operations (Camas) LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,62.025,66.234,45.774,61.57994,74.783823,
1658,Control Gorge,USA0000393,37.500000000000000,37.437899999999999,-118.557000000000002,Hydro,,,,1952.000000000000000,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25085,2017,3.238,2.831,9.179,37.04,111.77,
1659,Cooke,USA0001700,9.000000000000000,44.472600000000000,-83.571899999999999,Hydro,,,,1911.000000000000000,Consumers Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17512,2017,26.621,29.612,26.976,28.984,30.436,
1660,Coolidge Generation Station,USA0056948,726.000000000000000,32.917400000000001,-111.503299999999996,Gas,,,,2011.000000000000000,Coolidge Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58073,2017,234.21216,211.11356,277.29002,167.69564,167.26542,
1661,Coon Rapids II,USA0007847,5.400000000000000,41.871000000000002,-94.680800000000005,Oil,,,,2001.000000000000000,City of Coon Rapids,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17611,2017,0.018,0.021,0.018,0.026,0.008,
1662,Cooper,USA0001384,344.000000000000000,36.998100000000001,-84.591899999999995,Coal,,,,1967.679069999999911,East Kentucky Power Coop  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18887,2017,997.375002,1029.439997,524.508997,644.656002,446.758005,
1663,Cooper Farms VW Project,USA0057570,4.500000000000000,40.905799999999999,-84.570300000000003,Wind,,,,2012.000000000000000,V.H. Cooper & Co.  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63498,2017,12.79971,14.463,13.977,13.961,13.661,
1664,Cooper Nuclear Station,USA0008036,801.000000000000000,40.362800000000000,-95.640799999999999,Nuclear,,,,1974.000000000000000,Nebraska Public Power District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27284,2017,6804.022,5917.335,6800.771,5925.356,6912.737,
1665,Cooperative Solar One,USA0060863,8.500000000000000,38.027200000000001,-84.254700000000000,Solar,,,,2017.000000000000000,East Kentucky Power Coop  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,1.33,3.790385178000000
1666,Copco 1,USA0000294,20.000000000000000,41.978900000000003,-122.335300000000004,Hydro,,,,1918.000000000000000,PacifiCorp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,67.577,65.39,60.539,80.964,107.722,
1667,Copco 2,USA0000295,27.000000000000000,41.975700000000003,-122.358099999999993,Hydro,,,,1925.000000000000000,PacifiCorp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,83.609,86.439,77.098,104.792,138.29,
1668,Cope,USA0007210,417.300000000000011,33.364400000000003,-81.030000000000001,Coal,Gas,,,1996.000000000000000,South Carolina Electric&Gas Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,32974,2017,2445.715018,2973.345035,2199.70303,0,2384.567003,
1669,Copenhagen Plant,USA0010545,3.300000000000000,43.899700000000003,-75.660300000000007,Hydro,,,,1984.000000000000000,CHI Energy Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17374,2017,12.087,10.486,9.479,8.116,11.396,
1670,Copper,USA0000009,80.500000000000000,31.756900000000002,-106.375000000000000,Gas,Oil,,,1980.000000000000000,El Paso Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,19132,2017,0,0,0,0,18.913,
1671,Copper Crossing Solar LLC,USA0057318,20.000000000000000,33.160600000000002,-111.483999999999995,Solar,,,,2012.000000000000000,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,60937,2017,53.442,53.044,51.779,54.194,52.567,
1672,Copper Dam Plant,USA0010323,2.600000000000000,45.665199999999999,-121.523799999999994,Hydro,,,,2015.000000000000000,Farmer's Irrigation District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,14.246,14.355,12.373,15.439,16.85,
1673,Copper Mountain Solar 2,USA0058017,154.000000000000000,35.786400000000000,-114.962800000000001,Solar,,,,2013.168830999999955,Copper Mountain Solar 2  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58550,2017,226.935,224.986,354.249,356.633,366.361,
1674,Copper Mountain Solar 3,USA0058915,255.000000000000000,35.889400000000002,-114.957899999999995,Solar,,,,2014.278430999999955,Copper Mountain Solar 3  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58550,2017,,155.288,602.427,605.854,607.761,
1675,Copper Mountain Solar 4  LLC,USA0059814,93.599999999999994,35.782200000000003,-114.975399999999993,Solar,,,,2016.000000000000000,Copper Mountain Solar 4  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58550,2017,,,,42.979,249.015,41.738829719999998
1676,Coralville GT,USA0001079,72.000000000000000,41.671900000000001,-91.563999999999993,Gas,,,,1970.000000000000000,MidAmerican Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,26311,2017,-0.492,-0.223,-0.754,0.165,0.715,
1677,Coram Energy LLC,USA0054299,3.000000000000000,35.075000000000003,-118.341700000000003,Wind,,,,2005.000000000000000,Brookfield Energy Marketing LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,51957,2017,9.583,8.317,8.592,11.855,10.144,
1678,Coram Energy LLC (ECT),USA0054298,7.500000000000000,35.058300000000003,-118.341700000000003,Wind,,,,2005.000000000000000,Brookfield Energy Marketing LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,51957,2017,26.587,22.464,20.437,28.31,25.885,
1679,Coram Tehachapi,USA0054750,6.500000000000000,35.066299999999998,-118.339399999999998,Wind,,,,1992.000000000000000,Coram Tehachapi LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,37647,2017,12.552,13.236,13.012,14.093,12.553,
1680,Corcoran,USA0060450,1.100000000000000,36.102300000000000,-119.566500000000005,Solar,,,,2014.000000000000000,WGL Energy Systems  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,61318,2017,,,,2.022,1.929,0.490520435000000
1681,Corcoran Solar,USA0058374,20.000000000000000,36.138300000000001,-119.573300000000003,Solar,,,,2013.000000000000000,Consolidated Edison Development Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,66568,2017,19.83465,51.228,52.42,51.179,50.896,
1682,Corcoran Solar 2,USA0059413,19.800000000000001,36.141900000000000,-119.581699999999998,Solar,,,,2015.000000000000000,Consolidated Edison Development Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,66568,2017,,,34.502,50.862,50.255,8.829367826000000
1683,Corcoran Solar 3,USA0059900,20.000000000000000,36.150399999999998,-119.585400000000007,Solar,,,,2016.000000000000000,Consolidated Edison Development Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,66568,2017,,,,53.413,52.105,8.918553359000001
1684,Cordell Hull,USA0003423,99.900000000000006,36.289499999999997,-85.944199999999995,Hydro,,,,1973.333333000000039,USCE-Nashville District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35545,2017,465.545,408.363,372.857,379.995,403.695,
1685,Cordova Energy,USA0055188,611.200000000000045,41.712200000000003,-90.279700000000005,Gas,,,,2001.000000000000000,Cordova Energy Co LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,45653,2017,53.351,58.537,11.125,45.91,79.77,
1686,CoreSite Real Estate 1656 McCarthy  L.P.,USA0061475,5.000000000000000,37.405700000000003,-121.916200000000003,Oil,,,,2000.000000000000000,CoreSite Real Estate 1656 McCarthy  L.P.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0.036,27.928990660000000
1687,CoreSite Real Estate 2901 Coronado  L.P.,USA0061476,10.000000000000000,37.375100000000003,-121.971699999999998,Oil,,,,2010.000000000000000,CoreSite Real Estate 2901 Coronado  L.P.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,55.857981310000000
1688,CoreSite Real Estate 2972 Stender  L.P.,USA0061464,12.000000000000000,37.376199999999997,-121.970699999999994,Oil,,,,2011.000000000000000,CoreSite Real Estate 2972 Stender  L.P.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,67.029577570000001
1689,CoreSite Real Estate 3032 Coronado  L.P.,USA0061482,30.000000000000000,37.376199999999997,-121.973100000000002,Oil,,,,2015.000000000000000,CoreSite Real Estate 3032 Coronado  L.P.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,167.573943899999989
1690,CoreSite Real Estate 55 S. Market Street,USA0061474,6.000000000000000,37.334200000000003,-121.891599999999997,Oil,,,,2007.000000000000000,CoreSite Real Estate 55 S. Market Street  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,33.514788789999997
1691,Cork Oak Solar,USA0060637,20.000000000000000,36.371000000000002,-77.570999999999998,Solar,,,,2018.000000000000000,Cork Oak Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0.025,8.918553359000001
1692,Cornelius Delivery No 1,USA0056546,2.200000000000000,35.483300000000000,-80.856899999999996,Oil,,,,2007.000000000000000,North Carolina Mun Power Agny #1,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62042,2017,-0.029,-0.019,-0.003,-0.026,-0.029,
1693,Cornell,USA0006086,35.299999999999997,45.164000000000001,-91.157399999999996,Hydro,,,,1976.022662999999966,Northern States Power Co - Minnesota,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,28310,2017,89.108,112.985,100.706,123.881,115.698,
1694,Cornell Geneva Solar Farm,USA0060150,2.000000000000000,42.866000000000000,-77.031000000000006,Solar,,,,2016.000000000000000,Argos Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,0.001,2.948,3.191,0.891855336000000
1695,Cornell Hydro,USA0010286,1.900000000000000,42.451900000000002,-76.485100000000003,Hydro,,,,1982.000000000000000,Cornell Hydro,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.702,2.66,4.536,4.292,6.075,
1696,Cornell Snyder Road Solar Array,USA0059470,1.800000000000000,42.497500000000002,-76.459999999999994,Solar,,,,2014.000000000000000,Ulysses Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68584,2017,,0.33,2.114,2.279,2.059,
1697,Cornell University Central Heat,USA0050368,39.500000000000000,42.442799999999998,-76.476399999999998,Gas,Oil,,,2005.822785000000067,Cornell University,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17687,2017,0,0,258.147003,259.517,251.584005,
1698,Cornerstone Power Holmdel LLC,USA0058536,3.000000000000000,40.352200000000003,-74.187799999999996,Solar,,,,2013.000000000000000,OCI Solar Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,65541,2017,3.051,5.024,4.89,4.823,4.298,
1699,Cornerstone Power Vineland I LLC,USA0058512,3.100000000000000,39.439700000000002,-75.043899999999994,Solar,,,,2012.000000000000000,Altus Power America Management  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.38362,5.575,5.609,5.587,5.339,
1700,Corning,USA0001134,6.800000000000000,40.987099999999998,-94.735200000000006,Oil,,,,1993.235294000000067,City of Corning - (IA),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17695,2017,0.01,0.031,0.013,0.008,0.002,
1701,Cornwall Solar Center  LLC,USA0059663,5.000000000000000,36.366900000000001,-78.626099999999994,Solar,,,,2016.000000000000000,SRE Utility Solar 1  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0.596,9.698,2.229638340000000
1702,Corona,USA0000480,2.900000000000000,33.859000000000002,-117.610600000000005,Hydro,,,,1983.000000000000000,Metropolitan Water District of S CA,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,17.347,14.259,17.139,20.224,1.139,
1703,Coronado,USA0006177,821.799999999999955,34.578899999999997,-109.270799999999994,Coal,,,,1980.000000000000000,Salt River Project,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,31944,2017,5782.49805,5419.903049,4935.386977,4924.949026,3899.902984,
1704,Coronal Lost Hills,USA0059638,20.000000000000000,35.726700000000001,-119.905799999999999,Solar,,,,2015.000000000000000,Coronal Lost Hills  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,35.254,52.623,52.093,8.918553359000001
1705,Coronus Adelanto West 1,USA0059536,1.500000000000000,34.548099999999998,-117.464399999999998,Solar,,,,2015.000000000000000,CF SBC Master Tenant One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,3.198,3.126,3.331,0.668891502000000
1706,Coronus Adelanto West 2,USA0059537,1.500000000000000,34.548099999999998,-117.464399999999998,Solar,,,,2015.000000000000000,CF SBC Master Tenant One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,3.203,3.201,2.251,0.668891502000000
1707,Corpus Christi,USA0050475,41.000000000000000,27.811100000000000,-97.595799999999997,Gas,,,,1989.000000000000000,Equistar Chemicals LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,28686,2017,106.085,96.029,80.423,57.446,79.36,
1708,Corpus Christi Energy Center,USA0055206,593.299999999999955,27.813900000000000,-97.428299999999993,Gas,,,,2002.000000000000000,Corpus Christi Cogeneration LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,45998,2017,1950.403,2008.063002,2299.201004,2416.700996,2134.548999,
1709,Corpus Refinery,USA0050026,47.000000000000000,27.832200000000000,-97.528099999999995,Gas,,,,1988.000000000000000,Flint Hills Resources Corpus Christi LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,271.606,257.853,246.879,274.268,287.993,
1710,Correctional Solar LLC,USA0060915,20.000000000000000,37.471499999999999,-76.856899999999996,Solar,,,,2018.000000000000000,Dominion Renewable Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,1.779,8.918553359000001
1711,Cos Cob,USA0000542,115.000000000000000,41.028900000000000,-73.598900000000000,Oil,,,,1982.565217000000075,Connecticut Jet Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17268,2017,0,0,0,0,2.607,
