OBJECTID,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
58,AES Warrior Run Cogeneration Facility,USA0010678,229.000000000000000,39.595199999999998,-78.745300000000000,Coal,,,,1999.000000000000000,AES WR Ltd Partnership,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12448,2017,1349.561951,1265.667026,1165.822039,984.976003,1108.237006,
59,AES Warrior Run Energy Storage Project,USA0059949,11.000000000000000,39.593100000000000,-78.745300000000000,Storage,,,,2016.000000000000000,AES Tait LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12448,2017,,,,-1.332,-2.639,
60,AFA Solar Farm,USA0057554,5.500000000000000,38.957900000000002,-104.806600000000003,Solar,,,,2011.000000000000000,Solar Star Colorado II LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,11.27,11.294,11.205,11.563,11.203,
61,AIS Solar Project,USA0060986,2.500000000000000,42.501899999999999,-71.737799999999993,Solar,,,,2017.000000000000000,WGL Energy Systems  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0.013,3.621,1.114819170000000
62,AL Sandersville LLC,USA0055672,692.000000000000000,33.118899999999996,-82.860799999999998,Gas,,,,2002.000000000000000,SEPG Operating Services  LLC ALS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49338,2017,3.529,9.041,7.382,6.974,1.145,
63,AM Best Farm,USA0058344,5.000000000000000,35.418900000000001,-77.985600000000005,Solar,,,,2013.000000000000000,AM Best Farm,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,4.618,9.102,8.691,9.131,8.689,
64,AMEA Peaking,USA0056018,98.599999999999994,33.166100000000000,-86.282499999999999,Gas,,,,2004.000000000000000,Alabama Municipal Elec Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.982,29.378,61.493,46.242,25.61,
65,AMP Napoleon Solar Facility,USA0058082,3.500000000000000,41.406700000000001,-84.110799999999998,Solar,,,,2012.000000000000000,American Mun Power-Ohio  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,102163,2017,5.262,5.147,5.111,4.888,4.905,
66,ANAD Solar Array,USA0060680,7.400000000000000,33.626700000000000,-85.969499999999996,Solar,,,,2017.000000000000000,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,7.668,3.299864743000000
67,ANP Bellingham Energy Project,USA0055211,578.000000000000000,42.110599999999998,-71.453500000000005,Gas,,,,2002.500000000000000,ANP Bellingham Energy Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,46177,2017,1978.236,2235.439,2510.525,2226.285,1999.288,
